1110 15 6235
0 8 170.53953552246094 374.4127197265625 
0 9 168.2914276123047 365.91937255859375 
0 6 189.10313415527344 375.37310791015625 
0 7 179.3522491455078 368.6108093261719 
0 5 196.07879638671875 367.1505432128906 
1 8 170.16490173339844 373.787353515625 
1 9 167.85589599609375 365.4674987792969 
1 6 188.58929443359375 375.31884765625 
1 7 178.71400451660156 368.23577880859375 
1 5 195.58604431152344 367.0251770019531 
2 8 169.61085510253906 374.4211120605469 
2 9 167.50076293945312 366.48126220703125 
2 6 188.42373657226562 375.7532958984375 
2 7 178.5157928466797 369.2099914550781 
2 5 195.50022888183594 367.48358154296875 
3 8 169.54978942871094 376.4166259765625 
3 9 167.40098571777344 367.8564147949219 
3 6 188.23455810546875 377.5067138671875 
3 5 195.4352569580078 369.3195495605469 
3 7 178.449951171875 370.764892578125 
4 8 168.70309448242188 377.93560791015625 
4 9 166.35211181640625 369.0429382324219 
4 6 187.34054565429688 379.3945007324219 
4 7 177.47085571289062 372.2868957519531 
4 5 194.4927520751953 371.1017150878906 
5 8 168.2285919189453 378.64215087890625 
5 9 165.60531616210938 370.5309753417969 
5 6 186.86630249023438 380.66064453125 
5 7 176.94329833984375 373.5279846191406 
5 5 193.9986114501953 371.90118408203125 
6 8 167.91452026367188 379.71966552734375 
6 9 165.5277557373047 370.5798034667969 
6 6 186.63180541992188 381.4291687011719 
6 5 193.83978271484375 372.9649658203125 
6 7 176.65151977539062 374.1392822265625 
7 8 167.87237548828125 379.9888000488281 
7 9 165.74049377441406 371.258056640625 
7 6 186.63449096679688 381.62945556640625 
7 5 193.85617065429688 373.347900390625 
7 7 176.72549438476562 374.721435546875 
8 6 186.82981872558594 381.5757141113281 
8 8 168.1911163330078 379.9422912597656 
8 9 165.9462432861328 371.05474853515625 
8 5 194.119384765625 373.4052734375 
8 7 176.89382934570312 374.5935363769531 
9 8 167.82437133789062 379.8772277832031 
9 9 165.701171875 371.0765686035156 
9 6 186.5836639404297 381.685302734375 
9 5 193.7977752685547 373.3973693847656 
9 7 176.6940460205078 374.6394348144531 
10 8 167.77186584472656 380.0018310546875 
10 9 165.75198364257812 371.1763610839844 
10 6 186.55335998535156 381.81365966796875 
10 5 193.79974365234375 373.4953308105469 
10 7 176.78163146972656 374.8311767578125 
11 8 168.1912078857422 379.8003234863281 
11 9 166.00144958496094 370.9417419433594 
11 6 186.77757263183594 381.5402526855469 
11 7 177.01181030273438 374.40869140625 
11 5 194.18814086914062 373.3614501953125 
12 8 168.39869689941406 379.017822265625 
12 9 166.42526245117188 370.57476806640625 
12 6 187.06234741210938 381.39178466796875 
12 7 177.45068359375 373.8204040527344 
12 5 194.50347900390625 373.0863037109375 
13 8 168.5082244873047 378.5732116699219 
13 9 166.4728240966797 370.5140686035156 
13 6 187.11573791503906 381.2643737792969 
13 7 177.46194458007812 373.7180480957031 
13 5 194.5053253173828 372.9489440917969 
14 8 168.52865600585938 378.5180358886719 
14 9 166.52346801757812 370.5 
14 6 187.3958740234375 381.2888488769531 
14 7 177.63340759277344 373.6972351074219 
14 5 194.76409912109375 372.80084228515625 
15 8 168.5338592529297 378.5014953613281 
15 9 166.5259552001953 370.4850158691406 
15 6 187.32264709472656 381.1170349121094 
15 7 177.5870361328125 373.532470703125 
15 5 194.6382598876953 372.5293884277344 
16 8 167.5348663330078 378.52423095703125 
16 9 165.5 370.5034484863281 
16 6 186.370849609375 381.3042297363281 
16 5 193.76864624023438 372.916259765625 
16 7 176.6170196533203 373.72406005859375 
17 6 185.04881286621094 381.55999755859375 
17 8 166.43685913085938 379.4543151855469 
17 9 164.42730712890625 370.6165466308594 
17 7 175.34756469726562 374.2434997558594 
17 5 192.47215270996094 373.4190368652344 
18 8 164.5142059326172 380.45477294921875 
18 9 162.5438690185547 371.74359130859375 
18 6 183.26181030273438 382.1695861816406 
18 5 190.64576721191406 373.6165771484375 
18 7 173.49046325683594 375.23260498046875 
19 8 162.1038818359375 380.73028564453125 
19 9 159.82249450683594 372.50836181640625 
19 6 180.99575805664062 383.1592102050781 
19 7 171.1894989013672 375.73211669921875 
19 5 188.4796142578125 374.5387878417969 
20 8 159.7952880859375 381.26312255859375 
20 9 157.5454559326172 372.5618896484375 
20 6 178.70706176757812 383.3985900878906 
20 5 186.170166015625 374.8620910644531 
20 7 168.734375 375.9471435546875 
21 8 157.49874877929688 382.46240234375 
21 9 155.30621337890625 373.0756530761719 
21 6 176.59011840820312 383.62060546875 
21 7 166.5160675048828 376.54693603515625 
21 5 183.9224090576172 375.18121337890625 
22 8 155.00376892089844 382.2765808105469 
22 9 152.84140014648438 373.976806640625 
22 6 174.16848754882812 384.04779052734375 
22 7 164.11148071289062 377.0965576171875 
22 5 181.63037109375 375.47235107421875 
23 8 152.9838409423828 381.9108581542969 
23 9 150.76995849609375 372.9912414550781 
23 6 172.29727172851562 383.5084533691406 
23 7 162.14108276367188 376.2549743652344 
23 5 179.68138122558594 375.0732727050781 
24 8 151.808349609375 380.6040954589844 
24 9 149.5481719970703 372.4827880859375 
24 6 171.20138549804688 382.8289794921875 
24 7 161.305419921875 375.50933837890625 
24 5 178.853515625 373.8729553222656 
25 8 150.5628204345703 380.4630126953125 
25 9 148.5634765625 372.28912353515625 
25 6 170.01031494140625 382.3047790527344 
25 7 159.93299865722656 375.14837646484375 
25 5 177.64002990722656 373.5853271484375 
26 8 148.0047607421875 380.3341369628906 
26 9 146.1493682861328 371.8705139160156 
26 6 167.52102661132812 382.5699768066406 
26 5 175.3722381591797 373.74993896484375 
26 7 157.45840454101562 375.3261413574219 
27 8 142.85281372070312 381.27783203125 
27 9 140.66061401367188 372.5364685058594 
27 6 162.41871643066406 383.8319396972656 
27 7 152.38839721679688 375.9610595703125 
27 5 170.5205078125 375.4794921875 
28 8 141.4005584716797 383.0299072265625 
28 9 139.55435180664062 374.4958801269531 
28 6 161.22491455078125 386.1922302246094 
28 5 169.59791564941406 377.5470886230469 
28 7 151.3054656982422 378.03765869140625 
29 8 143.66233825683594 383.2929382324219 
29 9 141.61460876464844 374.4791259765625 
29 6 163.47750854492188 386.48773193359375 
29 5 171.8643035888672 377.7226257324219 
29 7 153.48216247558594 377.8958435058594 
30 8 145.31773376464844 382.44769287109375 
30 9 143.71974182128906 373.3883056640625 
30 6 165.35067749023438 385.6142272949219 
30 5 173.8052215576172 377.2381591796875 
30 7 155.44622802734375 377.4840087890625 
31 8 146.67752075195312 380.2886657714844 
31 9 145.4578399658203 370.5409240722656 
31 6 167.22235107421875 383.1330871582031 
31 7 157.20965576171875 374.57318115234375 
31 5 175.73983764648438 374.21954345703125 
32 8 148.66455078125 378.44622802734375 
32 4 184.49581909179688 376.4519348144531 
32 9 147.2288818359375 369.2730712890625 
32 6 169.58567810058594 381.4322509765625 
32 5 178.0544891357422 372.7513427734375 
32 7 159.31719970703125 373.0732421875 
33 8 150.41966247558594 378.5979919433594 
